Date,driving,transit,walking,y,y-1,y-2,y-3,y-4,y-5
2020-08-14,25.15000000000001,-50.23,24.72,2554,1942,2389,1384,1896,1767
2020-08-15,16.28,-57.37,26.700000000000006,2069,2554,1942,2389,1384,1896
2020-08-16,-3.6700000000000017,-61.69,0.9599999999999936,1188,2069,2554,1942,2389,1384
2020-08-17,1.1400000000000006,-52.01,0.5999999999999943,1181,1188,2069,2554,1942,2389
2020-08-18,3.5100000000000047,-53.41,1.9500000000000028,900,1181,1188,2069,2554,1942
2020-08-19,6.420000000000003,-52.16,3.9599999999999937,1796,900,1181,1188,2069,2554
2020-08-20,8.129999999999995,-53.12,5.75,1519,1796,900,1181,1188,2069
2020-08-21,23.739999999999995,-50.42,23.54000000000001,1708,1519,1796,900,1181,1188
2020-08-22,17.659999999999997,-55.8,30.24000000000001,1608,1708,1519,1796,900,1181
2020-08-23,-4.1200000000000045,-61.03,1.0499999999999972,1033,1608,1708,1519,1796,900
2020-08-24,-0.09999999999999433,-53.56,-0.5699999999999932,1198,1033,1608,1708,1519,1796
2020-08-25,2.7900000000000063,-53.68,1.5199999999999958,884,1198,1033,1608,1708,1519
2020-08-26,5.170000000000002,-52.93,4.349999999999993,1609,884,1198,1033,1608,1708
2020-08-27,7.730000000000004,-53.78,6.150000000000006,1600,1609,884,1198,1033,1608
2020-08-28,25.05,-49.07,25.340000000000003,1472,1600,1609,884,1198,1033
2020-08-29,19.209999999999994,-54.57,35.06,1298,1472,1600,1609,884,1198
2020-08-30,-2.7600000000000047,-60.49,5.1099999999999985,993,1298,1472,1600,1609,884
2020-08-31,1.0699999999999932,-53.7,0.8100000000000023,1019,993,1298,1472,1600,1609
2020-09-01,3.9300000000000064,-53.54,3.870000000000005,753,1019,993,1298,1472,1600
2020-09-02,6.9099999999999975,-52.86,5.329999999999998,1414,753,1019,993,1298,1472
2020-09-03,11.97,-51.23,10.370000000000003,1064,1414,753,1019,993,1298
2020-09-04,33.84,-45.71,30.78,1408,1064,1414,753,1019,993
2020-09-05,19.629999999999995,-55.07,32.0,1135,1408,1064,1414,753,1019
2020-09-06,-0.5400000000000063,-61.94,8.5,792,1135,1408,1064,1414,753
2020-09-07,-8.680000000000009,-59.17,-5.769999999999996,487,792,1135,1408,1064,1414
2020-09-08,3.7099999999999937,-52.3,-0.769999999999996,420,487,792,1135,1408,1064
2020-09-09,5.209999999999994,-52.43,2.0900000000000034,618,420,487,792,1135,1408
2020-09-10,7.3400000000000025,-54.29,2.3799999999999955,1165,618,420,487,792,1135
2020-09-11,22.75,-49.83,19.590000000000003,1042,1165,618,420,487,792
2020-09-12,13.53,-56.0,23.58,1110,1042,1165,618,420,487
2020-09-13,-8.840000000000002,-62.32,-3.7600000000000047,809,1110,1042,1165,618,420
2020-09-14,-0.3499999999999943,-52.31,-1.5699999999999932,671,809,1110,1042,1165,618
